200	1	One 200 field must be present in a UNIMARC record. ####Specifies the Primary Title.  In UNIMARC, a record must have a 200 field.
801	1	One 801 field must be present in a UNIMARC record. ####Specifies the Originating Source.  In UNIMARC, a record must have a 801 field.

001	NR	RECORD IDENTIFIER
subfield	89abcd	Valid subfields
8	NR	Materials specified
9	NR	Local Subfield
a	NR	Terms governing access, use and reproduction
b	NR	Jurisdiction
c	NR	Authorization
d	NR	Authorized users

410	R	SERIES
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

411	NR	SUBSERIES
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

412	NR	SOURCE OF EXCERPT OR OFFPRINT
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

413	NR	EXCERPT OR OFFPRINT
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

421	NR	SUPPLEMENT
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

422	NR	PARENT OF SUPPLEMENT
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

423	R	ISSUED WITH
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

424	NR	IS UPDATED BY
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

425	NR	UPDATES
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

430	NR	CONTINUES
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

431	NR	CONTINUES IN PART
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

432	NR	SUPERSEDES
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

433	NR	SUPERSEDES IN PART
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

434	NR	ABSORBED
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

435	NR	ABSORBED IN PART
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

436	NR	FORMED BY MERGER OF
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

437	NR	SEPARATED FROM
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

440	NR	CONTINUED BY
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

441	NR	CONTINUED IN PART BY
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

442	NR	SUPERSEDED BY
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

443	NR	SUPERSEDED IN PART BY
ind1	blank	Undefined
ind2	012	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

444	NR	ABSORBED BY
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

445	NR	ABSORBED IN PART BY
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

446	NR	SPLIT INTO
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

447	NR	MERGED WITH XXX TO FORM
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

448	NR	CHANGED BACK TO
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

451	NR	OTHER EDITION IN THE SAME MEDIUM
ind1	blank	Undefined
ind2	012	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

452	NR	OTHER EDITION IN ANOTHER MEDIUM
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

453	NR	TRANSLATED AS
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

454	NR	TRANSLATION OF
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

455	NR	REPRODUCTION OF
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

456	NR	REPRODUCED AS
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

461	NR	SET LEVEL
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

462	NR	SUBSET LEVEL
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

463	NR	PIECE LEVEL
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

464	NR	PIECE-ANALYTIC LEVEL
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

470	NR	ITEM REVIEWED
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

481	NR	ALSO BOUND WITH THIS VOLUME
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

482	NR	BOUND WITH
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

488	NR	OTHER RELATED WORKS
ind1	blank	Undefined
ind2	01	Note Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

500	R	UNIFORM TITLE
ind1	01	 Title Significance Indicator
ind2	01	Primary Entry Indicator
subfield	239abhijklmnqrsuvwxyz	Valid subfields
2	NR	System Code
3	NR	Authority Record Number
9	NR	Local Subfield
a	NR	Uniform Title
b	R	General Material Designation
h	R	Number of Section or Part
i	NR	Name of Section or Part
j	R	Form Subdivision
k	NR	Date of Publication
l	R	Form Subheading
m	NR	Language (when part of a heading)
n	R	Miscellaneous Information
q	NR	Version (or Date of Version)
r	R	Medium of Performance (for Music)
s	R	Numeric Designation (for Music)
u	NR	Key (for Music)
v	NR	Volume Designation
w	NR	Additional Elements (for Music)
x	R	Topical Subdivision
y	R	Geographical Subdivision
z	R	Chronological Subdivision

501	R	COLLECTIVE UNIFORM TITLE
ind1	012	Type of Collective Title Indicator
ind2	blank	Undefined
subfield	239abejkmrsuwxyz	Valid subfields
2	NR	System Code
3	NR	Authority Record Number
9	NR	Local Subfield
a	NR	Collective Uniform Title
b	R	General Material Designation
e	NR	Collective Uniform Subtitle
j	R	Form Subdivision
k	NR	Date of Publication, etc.
m	NR	Medium of Performance (for Music)
r	R	Numeric Designation (for Music)
s	R	Key (for Music)
u	NR	Volume Designation
w	NR	Additional Elements (for Music)
x	R	Topical Subdivision
y	R	Geographical Subdivision
z	R	Chronological Subdivision

503	R	UNIFORM CONVENTIONAL HEADING
ind1	01	Title significance indicator
ind2	blank	Undefined
subfield	9abdefghijklmno	Valid subfields
9	NR	Local Subfield
a	NR	Form Heading Proper
b	NR	Form Subheading
d	R	Month and Day
e	NR	Personal name – Entry element of person
f	NR	Personal name – Part of name other than entry element – Forename
g	NR	Personal names – Dates
h	NR	Personal Name Qualifier
i	NR	Title of Part
j	R	Year
k	NR	Numeration (Arabic)
l	NR	Numeration (Roman)
m	NR	Locality
n	NR	Institution in Locality
o	NR	Place in Locality

507	NR	PREFERRED ACCESS POINT – IDENTIFICATION OF AN EXPRESSION (PROVISIONAL)
ind1	01	Primary Entry Indicator
ind2	blank	Undefined
subfield	39acdefhiklmnorsuvw	Valid subfields
3	NR	Authority Entry Record Number
9	NR	Local Subfield
a	NR	Title [Work
c	NR	Form of work [Work]
d	NR	Date of work [Work]
e	NR	Place of origin of work [Work]
f	NR	Original language of the work [Work]
h	R	Number of section or part [Work]
i	R	Name of section or part [Work]
k	R	Other distinguishing characteristics of a work [Work]
l	NR	Form of the expression [Expression]
m	NR	Language of the expression [Expression]
n	NR	Content type [Expression]
o	NR	Date of expression [Expression]
r	R	Medium of performance (for music) [Work]
s	R	Numeric designation (for music) [Work]
u	NR	Key (for music) [Work]
v	R	Medium of performance (for music) [Expression]
w	R	Other characteristics of expression [Expression]

510	R	PARALLEL TITLE PROPER
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	29aehijnz	Valid subfields
2	NR	Source
9	NR	Local Subfield
a	NR	Parallel Title
e	R	Other Title Information
h	R	Number of Part
i	R	Name of Part
j	NR	Volume or Dates associated with Title
n	NR	Miscellaneous Information
z	NR	Language of Title

511	R	HALF TITLE
ind1	01	Significance of title
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Half title

512	R	COVER TITLE
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9ae	Valid subfields
9	NR	Local Subfield
a	NR	Cover Title
e	R	Other Title Information

513	R	ADDED TITLE-PAGE TITLE
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9aehi	Valid subfields
9	NR	Local Subfield
a	NR	Added Title-page Title
e	R	Other Title Information
h	R	Number of Part
i	R	Name of Part

514	R	CAPTION TITLE
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9ae	Valid subfields
9	NR	Local Subfield
a	NR	Caption Title
e	R	Other Title Information

515	R	RUNNING TITLE
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Running Title

516	R	SPINE TITLE
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9ae	Valid subfields
9	NR	Local Subfield
a	NR	Spine Title
e	R	Other Title Information

517	R	OTHER VARIANT TITLES
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9ae	Valid subfields
9	NR	Local Subfield
a	NR	Variant Title
e	R	Other Title Information

518	R	TITLE IN STANDARD MODERN SPELLING
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Title proper, variant title or uniform title in standard modern spelling

520	R	FORMER TITLE (CONTINUING RESOURCES)
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9aehijnx	Valid subfields
9	NR	Local Subfield
a	NR	Former Title Proper
e	R	Other Title Information
h	NR	Number of Part
i	NR	Name of Part
j	NR	Volumes or Dates of Former Title
n	NR	Miscellaneous Information
x	NR	ISSN of Former Title

530	R	KEY-TITLE
ind1	01	Title Proper Indicator
ind2	blank	Undefined
subfield	9abjv	Valid subfields
9	NR	Local Subfield
a	NR	Key Title
b	NR	Qualifier
j	NR	Volume or Dates Associated with Key Title
v	NR	Volume Designation

531	R	ABBREVIATED TITLE (CONTINUING RESOURCES)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abv	Valid subfields
9	NR	Local Subfield
a	NR	Abbreviated Title
b	NR	Qualifier
v	NR	Volume Designation

532	R	EXPANDED TITLE
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	29az	Valid subfields
2	NR	Source
9	NR	Local Subfield
a	NR	Expanded Title
z	NR	Language of Title

540	R	ADDITIONAL TITLE SUPPLIED BY CATALOGUER
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9aehi	Valid subfields
9	NR	Local Subfield
a	NR	Additional Title
e	R	Other Title Information
h	NR	Number of Part
i	NR	Name of Part

541	R	TRANSLATED TITLE SUPPLIED BY CATALOGUER
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	29aehiz	Valid subfields
2	NR	Source
9	NR	Local Subfield
a	NR	Translated Title
e	NR	Other Title Information
h	NR	Number of Part
i	NR	Name of Part
z	NR	Language of Title

545	R	SECTION TITLE
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Section Title

560	R	ARTIFICIAL TITLE
ind1	01	Significance of title
ind2	blank	Undefined
subfield	59ae	Valid subfields
5	NR	Institution to which the Field Applies
9	NR	Local Subfield
a	NR	Artificial title
e	R	Other Title Information

576	NR	NAME / PREFERRED ACCESS POINT – IDENTIFICATION OF A WORK
ind1	01	Primary Entry Indicator
ind2	01	Structure Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

577	NR	NAME / PREFERRED ACCESS POINT – IDENTIFICATION OF AN EXPRESSION (PROVISIONAL)
ind1	01	Primary Entry Indicator
ind2	01	Structure Indicator
subfield	19	Valid subfields
1	R	Linking Data
9	NR	Local Subfield

600	R	PERSONAL NAME USED AS SUBJECT
ind1	blank	Undefined
ind2	01	Form of Name Indicator
subfield	239abcdfgjptxyz	Valid subfields
2	NR	System Code
3	R	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
b	NR	Part of Name Other than Entry Element
c	R	Additions to Name Other than Dates
d	NR	Roman Numera
f	NR	Dates
g	NR	Expansion of Initials of Forename
j	R	Form Subdivision
p	NR	Affiliation/address
t	NR	Title
x	R	Topical Subdivision
y	R	Geographical Subdivision
z	R	Chronological Subdivision

601	R	CORPORATE BODY NAME USED AS SUBJECT
ind1	01	Meeting Indicator
ind2	02	Form of Name Indicator
subfield	239abcdefghjxyz	Valid subfields
2	NR	System Code
3	R	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
b	R	Subdivision (or name if entered under place)
c	R	Addition to Name or Qualifier
d	NR	Number of Meeting and/or Number of Part of a Meeting
e	NR	Location of Meeting
f	NR	Date of Meeting
g	NR	Inverted Element
h	NR	Part of Name other than Entry Element and Inverted Element
j	R	Form Subdivision
x	R	Topical Subdivision
y	R	Geographical Subdivision
z	R	Chronological Subdivision

602	R	FAMILY NAME USED AS SUBJECT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	239afjxyz	Valid subfields
2	NR	System Code
3	R	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
f	NR	Dates
j	R	Form Subdivision
x	R	Topical Subdivision
y	R	Geographical Subdivision
z	R	Chronological Subdivision

604	R	NAME AND TITLE USED AS SUBJECT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	19	Valid subfields
1	NR	 Linking data
9	NR	Local Subfield

605	R	TITLE USED AS SUBJECT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	239ahijklmnqrsuwxyz	Valid subfields
2	NR	System Code
3	R	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
h	R	Number of Section or Part
i	R	Name of Section or Part
j	R	Form subdivision
k	NR	Date of Publication
l	NR	Form Subheading
m	NR	Language (when part of heading)
n	R	Miscellaneous Information
q	NR	Version (or Date of Version)
r	R	Medium of Performance (for Music)
s	R	Numeric Designation (for Music)
u	NR	Key (for Music)
w	NR	Arranged Statement (for Music)
x	R	Topical subdivision
y	R	Geographical subdivision
z	R	Chronological subdivision

606	R	TOPICAL NAME USED AS SUBJECT
ind1	02	Level of the Subject Item
ind2	blank	Undefined
subfield	239ajxyz	Valid subfields
2	NR	System Code
3	R	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
j	R	Form subdivision
x	R	Topical subdivision
y	R	Geographical subdivision
z	R	Chronological subdivision

607	R	GEOGRAPHICAL NAME USED AS SUBJECT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	239ajxyz	Valid subfields
2	NR	System Code
3	R	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
j	R	Form subdivision
x	R	Topical subdivision
y	R	Geographical subdivision
z	R	Chronological subdivision

608	R	FORM, GENRE OR PHYSICAL CHARACTERISTICS HEADING
ind1	blank	Undefined
ind2	blank	Undefined
subfield	2359ajxyz	Valid subfields
2	NR	System Code
3	R	Authority Record Number
5	NR	Institution to which the Field Applies
9	NR	Local Subfield
a	NR	Entry Element
j	R	Form subdivision
x	R	Topical subdivision
y	R	Geographical subdivision
z	R	Chronological subdivision

610	R	UNCONTROLLED SUBJECT TERMS
ind1	012	Level of the Subject Term
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	R	Subject Term

615	R	SUBJECT CATEGORY (PROVISIONAL)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	239amnx	Valid subfields
2	NR	System Code
3	R	Authority Record Number
9	NR	Local Subfield
a	NR	Subject Category Entry Element Text 
m	R	Subject Category Subdivision Code
n	R	Subject Category Code
x	R	Subject Category Subdivision Text

616	R	TRADEMARK USED AS SUBJECT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	239acfjxyz	Valid subfields
2	NR	System Code
3	NR	Authority Record Number
9	NR	Local Subfield
a	NR	Entry element
c	R	Qualification
f	NR	Dates
j	R	Form subdivision
x	R	Topical subdivision
y	R	Geographical subdivision
z	R	Chronological subdivision

617	NR	HIERARCHICAL GEOGRAPHICAL NAME USED AS SUBJECT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	239abcdefghikmno	Valid subfields
2	NR	System Code
3	NR	Authority Record Number
9	NR	Local Subfield
a	R	Country (Nation State)
b	NR	First-order political jurisdiction below a country
c	R	Intermediate Political Jurisdiction
d	NR	City, etc.
e	R	Venue
f	R	Date
g	NR	Season
h	NR	Occasion
i	NR	Final date
k	R	Subsection of City, etc.
m	R	Other Geographical Regions or Features
n	R	Extraterrestrial Areas
o	R	Geographical areas such as world, hemisphere, continent: larger area than country

620	R	PLACE AND DATE OF PUBLICATION, PERFORMANCE, ETC
ind1	012345	Type of data
ind2	012	Presence of data on source
subfield	239abcdefghikmno	Valid subfields
2	NR	System Code
3	NR	Authority Record Number
9	NR	Local Subfield
a	NR	Country (Nation State)
b	NR	First-order political jurisdiction below a country
c	R	Intermediate Political Jurisdiction
d	NR	City, etc.
e	R	Venue
f	R	Date
g	NR	Season
h	NR	Occasion
i	NR	Final date
k	R	Subsection of City, etc.
m	R	Other Geographical Regions or Features
n	R	Extraterrestrial Areas
o	R	Geographical areas such as world, hemisphere, continent: larger area than country

621	NR	PLACE AND DATE OF PROVENANCE
ind1	012345	Type of data
ind2	01	Presence of data on source
subfield	23569abcdefghikmno	Valid subfields
2	NR	System Code
3	NR	Authority Record Number
5	NR	Institution to which the field applies
6	R	Interfield Linking Data
9	NR	Local Subfield
a	NR	Country (Nation State)
b	NR	First-order political jurisdiction below a country
c	R	Intermediate Political Jurisdiction
d	R	City, etc.
e	NR	Venue
f	NR	Date
g	NR	Season
h	NR	Occasion
i	NR	Final date
k	R	Subsection of City, etc.
m	R	Other Geographical Regions or Features
n	R	Extraterrestrial Areas
o	R	Geographical areas such as world, hemisphere, continent: larger area than country

623	NR	CHARACTER
ind1	blank	Undefined
ind2	blank	Undefined
subfield	369abc	Valid subfields
3	NR	 Authority Record Number
6	R	Interfield linking data
9	NR	Local Subfield
a	NR	Entry element
b	NR	Part of name other than entry element
c	R	Additions to name of the character

631	NR	OCCUPATION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	2389abjxyz	Valid subfields
2	NR	System Code
3	NR	Authority Record Number
8	NR	Materials specified
9	NR	Local Subfield
a	NR	Occupation
b	R	Form
j	R	Form subdivision
x	R	Topical subdivision
y	R	Geographical subdivision
z	R	Chronological subdivision

632	NR	FUNCTION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	2389ajyz	Valid subfields
2	NR	System Code
3	NR	Authority Record Number
8	NR	Materials specified
9	NR	Local Subfield
a	NR	Function
j	R	Form subdivision
y	R	Topical subdivision
z	R	Geographical subdivision

660	R	GEOGRAPHIC AREA CODE (GAC)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Code

661	R	TIME PERIOD CODE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Time Period Code

670	R	PRECIS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9bcez	Valid subfields
9	NR	Local Subfield
b	NR	Indicator Number (SIN)
c	NR	String
e	R	Reference Indication Number (RIN)
z	NR	Language of Terms

675	R	UNIVERSAL DECIMAL CLASSIFICATION (UDC)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	39avz	Valid subfields
3	NR	Classification Record Number
9	NR	Local Subfield
a	NR	Number
v	NR	Edition
z	NR	Language of edition

676	R	DEWEY DECIMAL CLASSIFICATION (DDC)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	39avz	Valid subfields
3	NR	Classification Record Number
9	NR	Local Subfield
a	NR	Number
v	NR	Edition
z	NR	Language of edition

680	R	LIBRARY OF CONGRESS CLASSIFICATION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	39ab	Valid subfields
3	NR	Classification Record Number
9	NR	Local Subfield
a	NR	Class number
b	NR	Book number

686	R	OTHER CLASS NUMBERS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	239abcv	Valid subfields
2	NR	System Code
3	NR	Classification Record Number
9	NR	Local Subfield
a	R	Class number
b	R	Book Number
c	R	Classification Subdivision
v	NR	Edition

700	NR	PERSONAL NAME – PRIMARY RESPONSIBILITY
ind1	blank	Undefined
ind2	01	Form of Name Indicator
subfield	3489abcdfgkop	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
8	NR	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
b	NR	Part of Name Other than Entry Element
c	R	Additions to Names Other than Dates
d	NR	Roman Numerals
f	NR	Dates
g	NR	Expansion of Initials of Forename
k	R	Attribution qualifier
o	R	International standard identifier for the name
p	NR	Affiliation/address

701	R	PERSONAL NAME – ALTERNATIVE RESPONSIBILITY
ind1	blank	Undefined
ind2	01	Form of Name Indicator
subfield	3489abcdfgkop	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
8	NR	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
b	NR	Part of Name Other than Entry Element
c	R	Additions to Names Other than Dates
d	NR	Roman Numerals
f	NR	Dates
g	NR	Expansion of Initials of Forename
k	R	Attribution qualifier
o	R	International standard identifier for the name
p	NR	Affiliation/address

702	R	PERSONAL NAME – SECONDARY RESPONSIBILITY
ind1	blank	Undefined
ind2	01	Form of Name Indicator
subfield	34589abcdfgkop	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
5	NR	Institution to which the Field Applies
8	NR	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
b	NR	Part of Name Other than Entry Element
c	R	Additions to Names Other than Dates
d	NR	Roman Numerals
f	NR	Dates
g	NR	Expansion of Initials of Forename
k	R	Attribution qualifier
o	R	International standard identifier for the name
p	NR	Affiliation/address

703	NR	PERSONAL NAME – PROVENANCE OR OWNERSHIP
ind1	blank	Undefined
ind2	01	Form of Name Indicator
subfield	34589abcdfgkop	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
5	NR	Institution to which the Field Applies
8	NR	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
b	NR	Part of Name Other than Entry Element
c	R	Additions to Names Other than Dates
d	NR	Roman Numerals
f	NR	Dates
g	NR	Expansion of Initials of Forename
k	R	Attribution qualifier
o	R	International standard identifier for the name
p	NR	Affiliation/address

710	NR	CORPORATE BODY NAME – PRIMARY RESPONSIBILITY
ind1	01	specifies the kind of name of a body
ind2	01	Form of Name Indicator
subfield	3489abcdefghop	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
8	R	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
b	R	Subdivision
c	R	Addition to Name or Qualifier
d	NR	Number of Meeting and/or Number of Part of Meeting
e	NR	Location of Meeting
f	NR	Date of Meeting
g	NR	Inverted Element
h	NR	Part of Name Other than Entry Element and Inverted Element
o	R	International standard identifier for the name
p	NR	Affiliation/address

711	R	CORPORATE BODY NAME – ALTERNATIVE RESPONSIBILITY
ind1	01	specifies the kind of name of a body
ind2	01	Form of Name Indicator
subfield	3489abcdefghop	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
8	R	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
b	R	Subdivision
c	R	Addition to Name or Qualifier
d	NR	Number of Meeting and/or Number of Part of Meeting
e	NR	Location of Meeting
f	NR	Date of Meeting
g	NR	Inverted Element
h	NR	Part of Name Other than Entry Element and Inverted Element
o	R	International standard identifier for the name
p	NR	Affiliation/address

712	R	CORPORATE BODY NAME – SECONDARY RESPONSIBILITY
ind1	01	specifies the kind of name of a body
ind2	01	Form of Name Indicator
subfield	34589abcdefghop	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
5	NR	Institution to which the Field Applies
8	R	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
b	R	Subdivision
c	R	Addition to Name or Qualifier
d	NR	Number of Meeting and/or Number of Part of Meeting
e	NR	Location of Meeting
f	NR	Date of Meeting
g	NR	Inverted Element
h	NR	Part of Name Other than Entry Element and Inverted Element
o	R	International standard identifier for the name
p	NR	Affiliation/address

713	NR	CORPORATE BODY NAME – PROVENANCE OR OWNERSHIP
ind1	01	specifies the kind of name of a body
ind2	01	Form of Name Indicator
subfield	34589abcdefghop	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
5	NR	Institution to which the Field Applies
8	R	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
b	R	Subdivision
c	R	Addition to Name or Qualifier
d	NR	Number of Meeting and/or Number of Part of Meeting
e	NR	Location of Meeting
f	NR	Date of Meeting
g	NR	Inverted Element
h	NR	Part of Name Other than Entry Element and Inverted Element
o	R	International standard identifier for the name
p	NR	Affiliation/address

716	R	TRADEMARK
ind1	blank	Undefined
ind2	blank	Undefined
subfield	39acf	Valid subfields
3	NR	Authority Record Number
9	NR	Local Subfield
a	NR	Data element
c	R	Qualification
f	NR	Dates

720	NR	FAMILY NAME – PRIMARY RESPONSIBILITY
ind1	blank	Undefined
ind2	blank	Undefined
subfield	3489acdfo	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
8	R	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
c	NR	Type of family
d	R	Places associated with the family
f	NR	Dates
o	R	International standard identifier for the name

721	R	FAMILY NAME – ALTERNATIVE RESPONSIBILITY
ind1	blank	Undefined
ind2	blank	Undefined
subfield	3489acdfo	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
8	R	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
c	NR	Type of family
d	R	Places associated with the family
f	NR	Dates
o	R	International standard identifier for the name

722	R	FAMILY NAME – SECONDARY RESPONSIBILITY
ind1	blank	Undefined
ind2	blank	Undefined
subfield	34589acdfo	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
5	NR	Institution to which the Field Applies
8	R	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
c	NR	Type of family
d	R	Places associated with the family
f	NR	Dates
o	R	International standard identifier for the name

